category,Tilte,Base_Reviews
stimulation,why I like mobile strike,I like the game I like the Alliance challenges I can't wait till they update  the game were you can get a alliance city
self direction,"Installed fine, graphics look good","Installed fine, graphics look good. Literally everything else about this game is awful. Too linear, not enough action....OK I can deal with that. But EVERYTHING on the screen is there to make you pay money. Between interstitials and bonus challenges that can only be accessed if you pay money, it leaves a sour taste in your mouth. I LITERALLY spend more time ""x""ing out pay-for pop-ups than progressing my character. It's embarrassing and makes you wonder how much money they paid Arnold that they need to make a crappy money sacking game to recoup it. Stay away"
self direction,I LOVE IT!!!!!!!!!!Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???,I LIKE THESE KIND OF GAMES BECAUSE OF THE ACTION BUT NOW THAT I HAVE STARTED PLAYING I FOUND OUT YOU HAVE TO PLAY A BIT BEFORE YOU CAN GO TO WAR.I LIKE IT I RECOMMEND YOU GET ITÃ°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°??ÂÃ°??ÂÃ°??ÂÃ°??ÂÃ°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã¢?ÂºÃ¢?ÂºÃ¢?ÂºÃ¢?ÂºÃ¢?ÂºÃ¢?ÂºÃ¢?ÂºÃ¢?ÂºÃ°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°??ÂÃ°??ÂÃ°???Ã°???Ã°???Ã°???Ã°???Ã°???Ã°??Â¸Ã°??Â¸Ã°??Â¸Ã°??Â¸Ã°??Â¸Ã°??Â¸
self direction,Copy of GoW,"Not surprised at what the game consists of. My first thoughts were, &#34;Oh, a new game by MZ, how are they going to suck us bone dry of out money this time?&#34; Well, it's really just what GoW was, but with a military theme. Nothing was changed, it still tries to convince you into throwing your credit card at them, and they STILL have the audacity to call this game &#34;addictive&#34; when, again, it's just GoW with a military theme. MZ wasn't even TRYING to be creative!After you finish the tutorial which, still, is the exact same as GoW's, it shoves a 5$ &#34;offer&#34; for you. Innocent enough. Right? Not really. After that, 5$ changes into 20$, 20$ into 50$, and 50$ into 100$. It really is just a sick copy of GoW. I didn't even kid with myself that I would ever touch one of those &#34;deals&#34;, because I tried to play GoW for a week, I joined an alliance, but since I hadn't bought one of those cheap tricks, people were constantly telling me to &#34;kill youself n00b&#34; or &#34;u suc at this&#34;. I'm only 15 and I'm assuming these people are in their 20s and yet, they're acting like we're on the second grade playground. Same goes with MS. No one has any respect AT ALL.I could really go on and on about MZ and GoW and MS and the next scam MZ will be releasing next week, but really it won't do anything. MZ will continue to treat the players like property, like a juice box they're sucking dry and throwing into the garbage. MZ and everyone working there is pathetic. They probaly have more money than Donald Trump himself, and they're probably living it up in a mansion, showing off their 48 different shades of vintage green race cars, to some girls they found on the street. I think I'm going to stop ranting over MS stupidity, because (unlike the ones who play this game) I have a life."
power,Just barely gave it 4 stars,"I love this game. I wish I could play it all the time. But..... I have some issues with it, too. It lags. And I mean, a LOT. Constant glitching, takes a while to load, and sometimes it will even exit the app. Its so frustrating. Plus, when I'm trying to talk to my alliance, sometimes the keyboard won't show up, and if it does, I'll get one word and the app will glitch again sits that the keyboard doesn't come up. It makes me very sad, because I really do love the game!Money. It always wants money. Now, I don't think this would bug me, but every time I open the app an ad pops up, and the game glitches while its doing this, so I accidentally tap the ad and it messes me up. My screen usually goes gray,  and then the parental controls password pops up (because I'm 11, and I'm not allowed to purchase anything without my parent's  permission). Then when I finally get out of that gray screen, the game lags out of the app.Its sad, because I really do love this game. I just barely gave it four stars, only because I love it, but at the same time it makes me so angry.If you could possibly upgrade it so that other doesn't lag or make ads pop up every five seconds, this would be a complete 5 stars. Please upgrade.I hope this was of use for all who read it!"
power,Waste!,"These games are getting out of control when it comes to in app purchasing.  This is one of them.  It does not let the player play the game without somehow sliding in somewhere on an already crowded screen to use gold/buy gold, VIP Package this, War Crate Package that, buy X-Gold get ""Blah Blah Free"".  It gives me the feeling of playing at a sleezy casino.  The commercials are very misleading.  Combat only makes up a small portion of it.  Have fun upgrading your farm to a level 2, then level 3, then level 4, then you can't upgrade your armory to level 3 because your quarry is not a level 4 yet and so on...  If you have the time to monitor 15 or so tasks that take anywhere from 3:00 to 3 hours each on a daily basis then this game is a great fit for you!"
stimulation,Spend $$$$$$$$,A good game if you have deep pockets.  To be competitive you will need to spend hundreds of dollars..  the only way to win the game challenges is to buy the special packs..  their packs are $99.99. You may get lucky and find one that works for you at $49.99. And once in a blue moon a pack for $19.99. But it won't help unless maybe you get 2.
self direction,Great game to play,"Game could have marines, navy seals, military dogs, snipers, creating your own commander, plus seeing your army attacking the enemy's base and telling them where you want them to go when attacking."
stimulation,Addictive game plagued by unrestricted and possibly psychologically damaged players,"I have the same problem as a lot of other players. I'm willing to dump money into a free-to-play game if it entices me and is fun to play. Good developers deserve that, and at the start the game is addicting to build, employ strategy, and build your alliance. But give it a few days, and somehow you become cannon fodder for long time (or deep pocketed) players that teleport their base to your doorstep, and possibly that of your entire alliance, and hit you with full force before leaving right after (our state #300 COCA). In a matter of seconds, everything you built over the course of a few days goes to the bench for rebuilding or worse.Better yet, the stronger alliances impose restrictions on how you play the game, such as when you are allowed to attack or who can go where. It's like being given a chance to play in a world where a large group of people can play dictator and tell you how you play the game. And if you dare challenge it, they've got players who are on constant alert to take everything you've got. I broke a Non Alliance Pact, someone reported me (seriously) to a higher player (not developer), and I was attacked within 60 seconds. In my gaming experiences, it's one of the most frustrating things to experience when trying to get into a game. Look at the message boards in game and people refer to them as ""bullies"".I know what free-to-play means with these games, and you've got to dump some coin sometimes to get ahead. But with players like these scouting your every move, there's relatively no chance you can really find ways of having fun challenging other players. Unless you came into some serious money or have so much disposable income that you use it to wipe yourself, don't even waste your time getting involved with this game. Unless you're into electronic abuse. Then by all means, dive in and enjoy the taste of your tears.Worst game experience ever..."
self direction,Get your wallet out,"Forget the lies you are told about ""free"".  this game is NOT free.  True, the download is free, but if you want to play the game in any meaningful way, be prepared to spend money, big money.  To the tune of several hundred dollars (or equivalent for foreign purchases).  It takes money for every item in the game, period.  Speed up's are a good example.  Do you need speed ups? Well, you decide, do you want to wait for 711 days (that's over 2 years) for a research item to finish so you can be rewarded for another deployment slot?  And 711 days is a LOT of speed ups, and each one costs money.  And get ready for in-game purchase failures.  I've purchased 6 ""packages"" so far (that's $600 folks!!) and 2 of those have failed.  The first time Amazon refunded my money, the 2nd one, yesterday (6 August 16) is ""pending"".  You want to sit around waiting for ""pending""?  I'm NOT happy about dropping $100 and waiting on what they foolishly call ""tech support"".  Bottom line, don't believe the lies, this game is one thing, and one thing only, a huge money suck.  Personally, I'm thinking class action lawsuit, all I need is an attorney that will take it on."
self direction,A flat out bad game,"Don't waste your time (or money) with this game.  I foolishly played this game for a couple months and spent a fair amount of money.  I will tell you all you need to know:-There is literally nothing to do in this game. After you get over the ""excitement"" of upgrading buildings and troops you'll discover that those cool looking battles you see on the commercials are no where to be found.  Battles take 2 seconds and have zero interaction and are completely determined by the AI.-You can spend $100s of dollars on this game and quickly realize that's just barely enough to get off the ground.  The top players spend $1000s of dollars on this game.  Prepare to get stomped every day by these players.-There is no skill involved in this game. It is purely who can spend the most money and spend the most time online.-The penalty for losing battles is incredibly high. The top players can cut your whole army down and take all your resources without batting an eye.  These armies can take weeks to build up and can disappear in 2 seconds.-You can't have a life and play this game. If something distracts you from logging in and checking on your base you will constantly lose everything in your base.  If you can't login at least once a day just forget it.  It gets to a point where all you are doing is rebuilding and not actually progressing.This game is just a giant scam and plays off of people's emotions to pump more of their hard earned dollars into this game.  My advice is to save your time and money and get any other game besides this."
power,Will you be a wallet warrior?,"mKvVAt first, this game can be quite fun; however, you will quickly realize that the game is controlled by players that have spent $10000 and more which are virtually unstoppable due to the game mechanics. These high players go around attacking relatively new players for their RSS/resources and sooner or later you will be on that list. Not to mention, the game developers are always releasing upgrades which you can only get by spending some cash.You have 2 choices when playing this game:1. Constantly open your wallet to buy $100 packages. And even if you decide that, there will be someone else that will spend more making your investment worthless.2. Not spend any money but instead be constantly attacked for your hard earned resources.I have spent quite a bit in this game and it has been one of the biggest let downs ever. If I were you, I would not spend a dime for this game or you will come to regret it."
self direction,it okay,"I like these kind of games ,but they get me bored easily. I like choosing where to lace my buildings not on the plots."
power,Not free to play,"Not free to play even a kittle . yes the game is technically free to play. But the progression is so slow that you can count yourself out. There needs to be a way to develope states where only free to play are at. There needs to be a way to keep the big people (spends of hundreds of dollars) away from small purchasers. There needs to bef balance to this game for it to be fun. Its all fun and games till your spending money on shield every 3 days to make sure u can survive another couple of days. Also you will need to controller the ""loaders"" problem (there are people who will go out purchase ur packs and charge a fee to load them). This is a huge problem as well in this game. You also could look into the actual constant promotions eveytime you log in. This game was fun. It was... But then you start to see as you hit 25m another player can completely destroy you at 4billion. This literally sets you back 1 month or 49.99. The choice is yours. I do not recommend this game to anyone unless you have 1000.00 to spend on it right away. Good luck to the people who decide not to listen to my advice."
self direction,A teen with a tablet,"As someone who is well versed in the world of gaming, the lag is terrible. I've played it in multiple locations each a different wireless range and the lag is the same across the board. Considering that I use a 4th gen Kindle Fire HD; this troubles me. With the fact that the tablet I use is a quad-core; I shouldn't have this much lag in any scenario. I am glad at least that the game itself is free and I understand that the developers have to make some money. But I will not deny my distaste of the game's favoritism to the pay-to-win faction. As for the advertising; once again I understand that in order to get such a game out there, it takes quite a bit. But I think that Arnold Schwarzenegger was a bit overkill. My advice to the developers: try the Linux approach. It's not supposed to be about the money. It's supposed to be about bringing people together to have fun. If the game were truly equalized; I know for a fact that the game would gain more positive reviews at a faster than that of which can be seen the day I posted this comment: 198 people said 5 stars. 254 people said 1 star."
self direction,My thoughts,I love this game I thought it was gonna be one of the games in this genre that would be boring and I would just uninstall the game but this is amazing 2 days and I'm totally hooked !!!!!!!!
power,Good so far,"While a good game, it needs some minor bug fixes and increase the game's smoothness. The details are very good, and they pay attention to the details. While people complain about the side packs and value deals, there is nothing wrong with them. There is nothing wrong with the game, it's only people blaming their own lack of self control on the game and saying that the developers are evil, when they are just trying to make a living. Don't blame the game on your own lack of self control, this is a very good game. I will give it 5 stars once they fix the performance. It is a great game."
self direction,Pay to Win,"Remember the good old days when you and your friends would take turns throwing $20 bills into a fire?  Then, after a few hours, whoever threw the most bills into the fire was declared the winner?  Wasn't that fun?  No?  Then, you probably shouldn't download or play Mobile Strike (or Game of War).  Your power level in the game is a function of how much you are willing to spend.  If you spend $100/month, you will be much more powerful than free players.  If you spend $500/month, you will be much more powerful than the $100/month players.  If you spend $1,000/month, you will be much more powerful than the $500/month players.  It's that simple.  If you are a free player, you will spend much time and frustration playing a crippled version of the game while the $$ players farm you over and over again while you can do nothing.  If you can put up with that for more than a few months, then bless your heart.If you are reading this review and have never really had much exposure to a true pay to win game, you might be thinking I'm exaggerating that someone would spend $1,000 a month on a mobile game.  Oh, I wish I was -- the bigger spenders (whales as they are known in the industry) easily drop that much and more.  In Game of War, this game's direct predecessor and almost identical clone that has been operating for a few years, the biggest whales have easily surpassed $100k in lifetime spending on the game.  And, while some can no doubt afford it, I am 100%, no doubt, guaranteed certain that many have gone into debt, maxed out credit cards, and ruined their lives and their families trying to keep up.  It is an addiction related to and probably very similar to a gambling addiction.  Machine Zone/Epic War (Same company) are VERY VERY good at getting you hopelessly hooked even if you think you'd never be susceptible to that kind of thing.I would not recommend it for anyone to play because:1) The gameplay is addictive, but not fun.  Most of the game consists of variation of clicking button to get awards or prizes.  If you get really into it, you will find yourself spending countless hours on it building, researching, training, opening, using times, logging onto farm accounts, trading, and more but most of this stuff soon becomes tedious chores you MUST do just to be able to keep your account competitive and the times you actually spend attacking other players are few and far between.2) There is always a bigger fish.  Any reasonable spending budget will be dwarfed by the biggest players in the game.  The only way to become a top player is to throw caution to the wind and probably max out a few credit cards.  Even then, there will always be someone else who is willing to spend a little bit more or has a little bit higher credit limit.  It's a never ending race you will never win.3) Important: If you have issues with compulsiveness, addiction (especially gambling addiction), self control, budgeting, unrestrained competitiveness or easily succumb to peer pressure, I cannot stress how important it is to never, ever start playing this game.  The very first time you open the app -- before you even start really playing -- you are bombarded with ads and offers to buy your progression in the game.  When you first join an alliance, you will feel pressure to grow your account faster so the alliance will be more powerful.  Every single new feature or new power boost they release will be behind a paywall that you will have to purchase.  You are the type of person they target -- people who have to play everything to completion, people who can't stop and walk away after losing $500 on the black jack tables, and people who have to be the biggest/best at something no matter what.It is quite common for whales in this game and others like to say things like, ""I've invested $10,000 into this account."" instead of ""I've spent $10,000 on this account.""  It's some kind of weird coping mechanism that they believe their money is being used to invest in something rather than being thrown away and it shows you how far gone most of them are.  While it's true that you can sell your accounts (against the terms of service of the game), you will usually only get a fraction of what you've spent in return and the buy/sell markets are rife with scammers on both sides -- people who take your money and not turn over the account or take it back after the transaction is complete or people who will take your account without paying.  Also, since it is against the terms of service, the account may be deleted if the game makers find out.TLDR: Stay far, far, far away."
self direction,"This app did look interesting, but...","This app looked interesting, but, once I started to realise how difficult it was to actually get going with this, I ended up deleting it.  I thought it was just going to be a simple 'shoot-'em-up' type of game!  Unfortunately (for me anyway), it wasn't!!"
stimulation,Mobile strike is entertaining,It's not a bad game I got hooked easy it's great to build but on cons side you get booted every ten minutes on a good day you get longer and you need to buy packages from Ã‚Â£15 to Ã‚Â£150 but graphics and challenges are rewarding
self direction,One Star,"Very slow, action not smooth or flowing. Have deleted this."
self direction,slow clunky and dull,Game is very clunky and laggy seems to go no where. Adverts are lies of any action what so ever.
self direction,Two Stars,Not as fluid as I would have thought.
self direction,One Star,Not what I thought it was going to be like.
self direction,Suffers from the same problem as most of these games ...,Suffers from the same problem as most of these games after an initial flurry of action you end up spending 90% of your time waiting for last thing you did to finish or spending a lot of money in little bits to speed things up. I was playing the version from the kindle app store and the slow down on it made the game practically unplayable with waits for a response to clicking a building or and upgrade sometimes taking minutes to appear. After trying to play several times during the day I can say that was a game issue not a hardware one.
self direction,Crashes a lot. Good base and character building but very little else to play for,"I'm writing a revised review after 6-7 days of playing the game. I originally posted 4 stars, but knocking this down to 2.Starting with the positive, there are a few elements of the game which are quite enjoyable and some pretty in depth and have received some thought from the developers. The base building element is quite good and the ability to customize your character and bases strengths and weekends by electing where to invest your skills/research time or what modifications you make upon your gear is pretty good too. However, you soon realize that there is very little else to the game. Basically the battle / 'mission' elements to the game are just lacking. Missions are basically an endeviour of clicking a start button, waiting for somewhere between 2 minutes to 2 hours to elapse and then clicking a 'collect' button - I wish I could say it was more exciting but that's it. You can wage battles against your opponents however - sound more promising? Well, you basically pick a base to attack, send your troops in, and await for them to return to here the outcome. You do not see the battle, fight the battle, influence the battle or have any real sway over its outcome as far as I can see. So you spend all your time in the game bascially just increasing elements of your base from one level to the next. Furthermore, because all base items are chained dependencies upon each other, actually your base customization is really poor. You must upgrade your Wall to upgrade your HQ, and you must upgrade your Iron Mine (I think) to upgrade your wall and so on and so forth. The chose you have of what to build becomes simply a matter of 'how many' of each item you choose to build.Next on my hit list to highlight is the games undeniable drive to have you spend your money. My character is on level 19 and has a VIP level of 7 after quite a lot of hours played this week, but for the grand total of Ã‚Â£3.99 you can start at level 50 which a VIP level of 30. Else, given the exponential increase in time it takes to build, train and research i imagine that would take about 1 month. If you don't want to spend you have a long waiting game ahead to be anywhere near those players who do. At every turn the game tries to pries you from this 3.99 investment with extra base items, unlocks for various things, huge amounts of gold etc. Its a bit too 'in your face' for my liking. I'm open minded to spending money on a game - but I first seek to see if its a game i'd like to play for some time - but alas if I spent money on this game, other than having a more powerful base I don't see what for - there's so little else to the game play that it just all feels a little pointless.The final point i'd draw attention to is the games reliability. This may not be the same for all - I guess it could be devise related but while sometimes I can play the game for over an hour, at other times the game might just exit every few minutes forcing a constant reload. It becomes really frustrating. I'm using an Amazon Fire 7"" Tablet for the record."
self direction,So....So,"The games itself is good. The concept, the graphics, there are many things that make this game good....... however the developers are losing players fast not because the game isn't fun because it is. They are losing players mainly to the fact that they increased their prices of packs due to the demand (so they say) so because they've lost a lot of players ud of thought they'd lower the prices,  instead they've done tons of updates to try n make the game better n brought out new features.... Unfortunately that hasn't helped the game. They're focusing to much time on gears and equipment n new buildings when they need to go back n 're think something"
self direction,One Star,Not what I thought it would be
power,smashing,It's fun and the  people are cool because y poo u can control them
self direction,dull,No matter what internet speed you have the game remains clunky and slow to do anything. It spends more time trying to sell you stuff rather than creating a game worth playing.
self direction,It's for you to judge,"To start, ignore all the others saying it lags and crashes, because it just simply doesnt. Secondly its literally game of war fire age but modern days. I didn't really like fire age and thought this would be different, but was exactly the same. It disappointed me. Also, its constantly telling you to do recommended missions with a big hand pointing to the mission button which is really annoying. If you like game of war fire age and prefer modern wars rather than medevil wars, I highly reccomend it, but if not, leave this game uninstalled. If you want a great base building game, I'd reccomend star wars commander."
self direction,great game,Free action packed game loved it
security,Avoid on Amazon Fire.,"Had to write this as if your playing on Amazon fire this will apply to you too,game crashes every 10 or so minutes, sometimes longer sometimes less. Starts with chat crashing ( keyboard keeps flagging on and off ) followed by an app crash.EW it should be noted haven't a clue on what customer service looks like, never mind being able to implement anyting. Contacted them several times, explaining the issue, their only response reinstall game ( have done this probably more times than I've played it now ) or check for updates which its been upto date everyday. Wouldn't be so bad but this app does require somesortof spending to fully appreciate the game and for those rare moments when it works, its a great game, its being let down by stability issues and poor customer / technical support.Honestly I'd avoid if I were you and try the same format just the medieval version Game of War.No stability issues there and better free bonuses."
self direction,Junk,Loads to 90%>and stays there. Never got it to work. Thought Amazon vetted these apps. Just junk
self direction,7 people found this helpful,Not what I thought
self direction,4 people found this helpful,Don't know what this is for. Thought it was to connect to telly.
self direction,Pay to view,"My wife thought it was a free streaming service. She was disappointed, to find out it wasnÃ¢??t."
self direction,Gross,Not what I thought it was. I thought it would be Quentin Tarantino movies and Grindhouse or Rob Zombie movies. Trust me that was not the case
self direction,Ã°??Â¤Ã°??Â¤Ã°??Â¤Ã°??Â¤Ã°???Ã°???Ã°???Ã°???,Movie updates and coming attractions where are the new movies nothing new in three months.
self direction,One person found this helpful,"I ended up buying this app by mistake by selecting a movie listed as without adds thinking that I would see some details about the movie but No!"" it just signed me up (with automatic monthly renewals- which was hard to figure out how to turn off but that's another complaint) - no screen saying ""are you sure you want to purchase this app?'. I've since turned off in-app purchases - which I thought I had already done..."
self direction,One person found this helpful,"I actually downloaded this because IÃ¢??d thought it would be great to watch something different however.. it has never worked from the very first use. It just sits on the start screen. No wonder itÃ¢??s completely free, absolutely rubbish."
power,Great app with an anoying bug,"Worked great most the time and we really enjoyed the interface and music quality.  Had issues with the remote control feature stop responding after about 2 hours.  The fix was to log out and log back in, but then you lose your songs in queue.  Could be a 5 star app if bugs are worked out."
power,Incomplete App. Do not buy!,This app does not work correctly. They suck you into pay for a subscription and the features do not work. You wonÃ¢??t know this till after they got your money. The remote control feature does not work on the Firestick. The other devices cannot send songs to the Firestick app because the developers left out the Ã¢??queueÃ¢?Â. YouÃ¢??re supposed to be able to synch another device to the Firestick app and have the songs sent so they play on the tv but they donÃ¢??t because again the queue option is not there. So donÃ¢??t waste your money or your time
universalism,DonÃ¢??t buy this if you want to sync with your TV,"I bought this for the grandkidsÃ¢?? visit, not understanding that it was not like some other karaoke apps that will sinc to your TV for group fun. It doesnÃ¢??t. Too late, we found a free app that does...So- I have this useless $9.00 app for my phone that IÃ¢??m certain will never be used. I will do my best to try and remember to cancel it before the revolving charges start. Ugh."
self direction,The most songs of any karaoke app out there,"While this has the most song selection of many of the karaoke apps out there and the most supported platforms, I found great difficulty with the remote function while hosting a party. The remote function while it does work at times itÃ¢??s just not reliable enough. If having friends over everyone choosing their own songs and adding to a queue is a must. Without the remote function you can still choose songs with FireTV remote(slowly), so not a complete lost."
power,Does Not Play The Karaoke Singer's Voice... On a Karaoke App?,"Despite a lot of research prior to installing this on my FireTV and Android phone, I was not aware that this app does not allow for the singer's voice to be integrated into the song. This is not what I wanted on a Karaoke app. The only difference between pulling up a karaoke version of a song on YouTube and this app are a few features outlined below:PROS:-wide song selection-easy control of the volume of both the background vocals and the lead singer on the track-use multiple devices so singers can queue their own songs-not a bad price if you just want to subscribe a weekend every month or so and you need these featuresCONS:-the app is not designed to incorporate the karaoke singer's voice into the track as it plays"
power,Lots of fun and easy to use,"The kids loved it, they had a blast! Good song selection and parental controls. Made her birthday party!!"
security,Its Fun...,"GreatÃ¢?Â¦use monthly for Karaoke Night 75 -100 attendees. More than Ã‚Â¾ of Ã¢??EntertainersÃ¢?? have system at home and Rehearse for hours!Works great in big rooms with  good sound system.  It is much more pleasant listening when their song can play in a key that suits thesinger.  PLUS the good ones change up the speed, have 4-5 part harmony.  Job well done by RECISIO and the App is  KraFun  - Karaoke & Singing ..."
stimulation,Karaoke-less Night,"Needless to say, I was challenge be a sone whom I knew wasn't karaoke-inclined. One song winner takes all, download the app on cell and stick. Proceeding further information on how to make it work. The point isNeither of the apps worked. Quick uninstall for stick and cell."
power,Waste of time,They sucker punch you by telling you about a ton of features that are only available if you pay for VIP status.
self direction,Two Stars,"Stupid, I thought it was all done thru the app"
self direction,Did I do something wrong?,It would not let me sign in! It just kept loading. I thought I was doing something wrong so I checked my email to see if it was wrong and it was not. So I tried a few more times and it still didn't work!!!!!!!!Ã°??Â­Ã°??Â¤
self direction,i thought there would be more,"I really thought there would be more free music, my friends claim it gets better.  they all have it for their phones but on my tablet it's not what i was hoping for. perhaps it will grow on me."
self direction,Terible,"I had it, i thought it was going to be fun but its so stupid"
self direction,pretty neat...but...,"I'm afraid it doesn't work on kindle as well as I thought.I tried to play my recordings and it didn't. I'm still gonna keep it and see if I did something wrong, maybe it's just me. Anyways I hope you have a good day~"
self direction,BAD,"I got this app for my kindle fire hd thinking it would be awesome but boy was I wrong. When I first tried it and it didn't work I thought it was the settings that I picked, so I tried a different setting but it still did not work. I ended up trying all of the setting but it still did not work. I would give this app zero stars if I could."
self direction,The selection that I really enjoyed was reverse,"Its a momentary pleasure and quite entertaining but has no lasting value. The selection that I really enjoyed was reverse. Made me laugh so hard. Also, once a selection (voice change) is saved it is not easily retrievable from my phone. I went to the obvious places where I thought it might be stored and it wasn't there. I dont like that that."
self direction,DO NOT GET THIS APP,I THOUGHT THIS APP was awsome but NO IT IS A HORRIBLE APP!!!!!!!!So if you think it's a cool APP ITS NOT ITS A HORRIBLE APP IT JUST DOSNT WORK FOR KINDLE FIRE!!!
self direction,Not for Kindle Fire,I got this app cause I thought it will give me a voice recognition to change my pitch but just so u know........ KINDLE FIRES DON'T HAVE VOICE RECOGNITION!!! not for Kindle Fire
stimulation,Easy to use,"Novelty,  easy to use"
security,Used for our spy themed vbs!,The kids loved this! Our agent scanned them and then held it where they couldn't see. Worked perfect for &#34;security clearance&#34; test!
self direction,It actually guessed right on the first try.,"Not that it did the following times, but c'mon people, it's a gag app - It's not supposed too.  Still, thought it was kinda amusing."
self direction,so so,my friend tried it and he thought he was 490 years old then I told him the trick. My... Okay no my...  everybody thought it was terrible except my friend.
self direction,LoL,"I actually fell for it....... feel kinda stupid actually.  I thought this would read my thumb print - as I was sitting there with my thumb pressed up against the screen it finally hit me, this is just a screen with no scanning functionality.  LOL"
self direction,bad game:(,This app is nice not what I thought. I thought it would tell my real age but it was 30 years off. It said I was 40. Don't get this app plz
self direction,Silly,Thought it to be inaccurate. A silly app. Wouldn't recommend it to anyone. I wouldn't use it again and you shouldn't offer it.
stimulation,Humorous,Quite the fun gag. I changed my age up and down by several years every time I tried it. A novelty I had fun with but have since removed.
self direction,"Basic, but fun for kids.","This was an app my 10 year old daughter wanted. She thought is was funny, but soon got bored since it really only does one thing."
self direction,What is this???,"This piece of junk thought I was 58! I'm only 57! Just kidding. But really, they make some pretty bad guesses..."
self direction,Age Scanner,"Not as much fun as I thought it would be, kind of a waste of time.  This is a disappointing app."
self direction,SO FUNNY,Ok so I thought it would actually know my age but the first time it said I was 17 which I am not then 48 then 21 lol it's just a joke people so hopefully people read my comment
self direction,Creepy and Funny,"Seriously i got scared by this app! 1st time i did it the app got my age right!! I thought it was creepy and kinda funny. If it gets your age wrong then don't get mad, it's just a game!"
self direction,Not a very fun game.,"Dumb. It doesn't do anything. I thought it would be fun. Maybe it would use some math trick, but all it does is throw out a number. It's not even funny."
self direction,it sucks,it sucks it thought i was 78!im 21!
self direction,DO NOT DOWNLOAD!,"First of all I downloaded this on my sleep over, I had a lot of people over and we found this app and thought it would be cool and fun... ACTUALLY the complete opposite! To test it out to see if it worked' I tried two times and got 29 and 25. I even had my 3 year old sis do this and she got 31! But I gave it a star because it's funny to see how they age you. But also a waste of time!"
self direction,why was this invented,I think it sucks because I thought it would be correct
self direction,does not work!,When I first got this app I thought it would be cool and actually work. When I scanned my thumb it said I was 24 years old when I am only 13!
self direction,A COMPLETE RIP OFF!!!!!!!!!!!!!!!!!!!!!!!!!!!,When I saw this app I thought it would be fun and I was WRONG! This app was a complete waste!!
self direction,most inaccurate apps ever,DO NOT GET THIS APP!!!!!!!This app is so in inaccurate. It thought I was 46 years old when I'm only 9!
self direction,hey it's me again!,"Hello:3 how r u guys. Today I'm reviewing Age scanner. Yes it sometimes gets it right for me but idk about you guys. So I think it's ok to waste free time on. And yes it's funny to see my parents reaction when there like 100 years old:). It's good for pranks, and good for fun so buy it if you like games like that."
self direction,Billy bob,I Don't  really care for it  at first I thought it would tell you're real  age so I began to  play it and I didn't like it.
self direction,eh,"I read some other reviews and I don't know why everyone is so mad. Do you really think a random app on your device is going to tell your exact age?? It might say your super old, but it's just an app, it's not like it's an actually person judging you. I'm 12 and it said I was 48. I thought it was pretty funny. Learn to laugh ppl!!"
self direction,sucks,This app does not work it said I 47 years old bull crap.it also thought I was 18 yet I'm not don't get this app is sucks
self direction,This Game Sucks!,This game has no idea how old I am it says you are 44 you are 54 and all that!It doesn't even tell the truthI think nobody should get it Ã°??Â¬ I thought it would be so cool Ã°??Â¢This hurt my feelings a little bit  like an arrow through your heartÃ°???So so so so so so so so so so so so so so disappointingDo NOT get this appIt's super disappointing
self direction,My opinion,This is really stupid. it kept telling me im in the 20s all the time. im only 10!  i thought it will be close to my age but it wasnt. it said i was 26  then 25 then 23 . IM ONLY TEN!  maybe it will be close to your age but it was more than a ten year difference. That is my opionion!
self direction,Two Stars,Not what I thought
stimulation,Lame,Doesn't work! Even at a novelty it's a waste if time and memory. Don't do it! You.ll thank me later!
self direction,the age scanner,the age scanner is okay.I thought it would actually tell my real age. i just use it for pranks on my family
stimulation,Good novelty app,"Age scanner is a good novelty app; which is also it's weakness in that the fun wears off quickly it is not a knock of the quality of the app, but rather how novelty apps lose their appeal after the first hundred tries. Still worth the download."
self direction,TERRIBLE,This game is the absolutely most horrible game EVER. It thought I was 47 and I'm not even 15 yet. Take my advice and DON'T get this app. I Wish I could give this game zero stars.
stimulation,Age guesses bounce all over the place.,"This was an interesting novelty for about five seconds, after that - useless, even more useless than it was intended to be."
self direction,2 people found this helpful,Just watch your friends' reactions and the excuses they come up with for having an age guessed that is vastly different to their real age. :D
self direction,3 people found this helpful,I thought it actually worked. Disappointed.
self direction,3 people found this helpful,This app is ok but it does not tell you your real age but it is quite funny when it said I am 190 because I'm only 10 . But if you are over 30And you thought it was real then by better games. So this came is fine .
self direction,Totally useless not at all what I thought it would be,Totally useless not at all what I thought it would be. need to go to 1mobile and download the real chromcast app
power,= a good servise But the controls would not work on my ...,Chrome cast delivers .= a good serviseBut the controls would not work on my Kindle :(It works on my husbands phone
self direction,I would not recommend,Waste of time why would you need this not what I thought
self direction,No actual timer functions,I thought this was a countdown timer. I could not figure out a way to set a time so that this could be useful to me. This app has been absolutely pointless.
self direction,NOT a clock,"Not what I thought it was, just numbers scrolling really fast. Settings wouldng load to find if there was a way to change it"
